Date,Open,High,Low,Close,Volume,OpenInt
2008-09-08,82.889,83.512,72.45,73.748,12463795,0
2008-09-09,71.193,71.653,64.794,64.991,16986943,0
2008-09-10,65.841,72.078,64.982,69.911,13571468,0
2008-09-11,67.044,72.606,65.986,72.241,12159786,0
2008-09-12,73.583,78.281,72.903,77.604,10952209,0
2008-09-15,73.168,76.729,70.147,71.066,10839782,0
2008-09-16,66.756,74.599,65.832,73.627,12110956,0
2008-09-17,73.775,76.765,68.362,70.594,13390340,0
2008-09-18,71.903,74.987,66.742,71.506,11912563,0
2008-09-19,75.95,80.594,73.248,80.454,10809643,0
2008-09-22,81.018,82.777,78.981,80.411,11560478,0
2008-09-23,79.338,79.589,71.739,72.598,11097968,0
2008-09-24,74.304,75.429,71.1,71.158,7258419,0
2008-09-25,71.687,72.58,68.154,71.393,9769410,0
2008-09-26,67.649,67.765,62.227,64.183,10228828,0
2008-09-29,60.399,60.678,52.497,53.799,15033464,0
2008-09-30,55.93,59.326,54.428,57.403,10312820,0
2008-10-01,59.038,60.34,55.53,56.979,13098713,0
2008-10-02,44.38,44.38,33.257,33.463,52896265,0
2008-10-03,35.406,38.042,33.473,34.497,26732892,0
2008-10-06,32.07,32.823,26.526,31.359,37928306,0
2008-10-07,33.568,33.629,28.615,28.615,24035206,0
2008-10-08,27.021,33.319,26.63,30.173,33239521,0
2008-10-09,32.54,35.612,30.045,30.825,28498411,0
2008-10-10,28.58,34.531,27.565,30.719,27459977,0
2008-10-13,33.968,37.961,32.199,37.313,19376384,0
2008-10-14,39.419,39.728,32.07,33.128,25848810,0
2008-10-15,31.627,31.872,28.494,28.598,20878052,0
2008-10-16,30.268,30.315,25.4,27.982,26639675,0
2008-10-17,26.414,30.191,25.989,28.407,21955022,0
2008-10-20,30.66,33.161,30.201,32.851,21815365,0
2008-10-21,31.977,32.66,30.634,30.995,17341399,0
2008-10-22,29.454,29.905,26.17,27.184,16802361,0
2008-10-23,28.383,28.562,22.784,24.334,35843820,0
2008-10-24,20.645,25.037,20.222,23.441,22011172,0
2008-10-27,23.406,25.002,22.367,22.367,13416755,0
2008-10-28,24.361,25.306,21.249,25.306,17665754,0
2008-10-29,25.723,29.541,25.2,28.399,19746548,0
2008-10-30,30.062,32.122,29.732,31.905,17352983,0
2008-10-31,30.816,33.763,30.045,33.257,14503234,0
2008-11-03,33.545,33.96,31.075,31.482,12173824,0
2008-11-04,33.257,35.694,33.171,35.224,14622512,0
2008-11-05,34.843,36.429,32.34,32.375,12504863,0
2008-11-06,31.237,31.646,28.355,28.598,14285737,0
2008-11-07,29.637,31.596,29.145,30.797,12015394,0
2008-11-10,33.12,34.038,30.589,30.858,12459469,0
2008-11-11,29.541,30.201,28.145,28.881,9656424,0
2008-11-12,28.192,28.192,25.28,25.306,11766132,0
2008-11-13,25.876,28.693,24.524,28.615,16779029,0
2008-11-14,27.426,29.367,27.081,27.401,10327720,0
2008-11-17,26.924,27.592,25.738,26.638,9872462,0
2008-11-18,27.089,27.705,25.322,26.474,10713550,0
2008-11-19,26.068,26.715,24.094,24.266,12128151,0
2008-11-20,23.148,23.21,18.513,18.824,20078180,0
2008-11-21,20.427,21.114,19.457,21.051,15439267,0
2008-11-24,23,23.822,22.247,22.922,11418969,0
2008-11-25,23.781,24.231,22.091,23.503,7042439,0
2008-11-26,22.282,25.124,22.054,24.907,7962392,0
2008-11-28,25.133,25.714,24.24,25.617,2829307,0
2008-12-01,24.379,24.379,21.312,21.433,7638147,0
2008-12-02,20.057,22.991,19.962,22.922,18664240,0
2008-12-03,21.944,23.503,21.44,22.706,11888892,0
2008-12-04,22.352,23.605,21.65,22.188,8265020,0
2008-12-05,21.571,23.294,20.721,23.267,7422410,0
2008-12-08,24.579,26.043,24.474,25.356,8003215,0
2008-12-09,24.82,28.399,24.811,26.934,10204249,0
2008-12-10,27.688,29.489,27.688,28.934,10609606,0
2008-12-11,27.723,29.776,25.159,25.997,10345240,0
2008-12-12,24.474,27.35,23.641,26.586,7932605,0
2008-12-15,27.653,28.276,26.17,26.553,6414828,0
2008-12-16,28.39,30.408,28.276,30.347,10645840,0
2008-12-17,29.959,32.565,29.877,31.369,10887078,0
2008-12-18,32.131,32.194,28.737,29.324,6897360,0
2008-12-19,28.535,29.514,27.982,28.365,6724099,0
2008-12-22,28.857,28.857,25.374,26.242,6674630,0
2008-12-23,26.596,27.947,26.187,26.465,7532278,0
2008-12-24,26.898,26.915,25.834,26.352,2243690,0
2008-12-26,26.474,27.723,25.971,27.504,2832493,0
2008-12-29,28.399,28.944,27.513,28.589,5481664,0
2008-12-30,28.693,28.978,27.662,28.865,4705272,0
2008-12-31,28.796,29.766,28.606,29.202,4876628,0
2009-01-02,29.688,31.333,29.367,31.11,6322119,0
2009-01-05,31.119,32.911,30.963,31.794,12341919,0
2009-01-06,31.414,32.946,29.414,32.54,19277048,0
2009-01-07,32.989,34.73,32.114,32.444,15297038,0
2009-01-08,31.776,33.763,30.781,33.561,11653566,0
2009-01-09,34.071,34.244,32.296,32.737,7084002,0
2009-01-12,32.381,32.381,28.58,29.167,11724159,0
2009-01-13,28.786,30.14,28.257,29.602,8548666,0
2009-01-14,28.693,28.779,27.133,28.027,8466042,0
2009-01-15,27.903,29.704,26.31,29.091,9322006,0
2009-01-16,30.399,30.797,28.719,29.913,8616461,0
2009-01-20,29.359,29.447,27.055,27.133,7837690,0
2009-01-21,27.799,28.39,26.638,28.39,7286516,0
2009-01-22,27.401,29.489,26.943,28.648,8589979,0
2009-01-23,27.367,30.937,27.106,29.871,7885566,0
2009-01-26,30.094,31.895,30.009,30.832,8146044,0
2009-01-27,31.333,31.542,29.959,30.838,6225864,0
2009-01-28,31.656,32.737,31.247,31.872,8418286,0
2009-01-29,31.151,31.646,30.418,30.494,5968938,0
2009-01-30,30.875,31.004,29.367,30.104,7460634,0
2009-02-02,29.257,30.807,28.865,29.999,6590407,0
2009-02-03,30.218,30.901,29.68,30.667,5778945,0
2009-02-04,31.257,33.188,30.93,32.911,9704683,0
2009-02-05,32.557,35.406,32.452,34.895,11407732,0
2009-02-06,36.083,38.37,35.864,38.024,17367767,0
2009-02-09,38.647,41.079,37.503,38.515,17650029,0
2009-02-10,38.351,39.625,36.463,37.277,14343378,0
2009-02-11,38.404,38.431,34.566,35.604,12949358,0
2009-02-12,34.6,36.413,33.586,36.332,11303320,0
2009-02-13,36.308,36.863,35.685,36.185,8035295,0
2009-02-17,34.175,34.48,32.833,33.37,11169016,0
2009-02-18,34.081,35.19,33.257,34.497,8923436,0
2009-02-19,35.597,36.931,35.044,35.215,8020155,0
2009-02-20,33.803,36.158,33.595,35.882,8330235,0
2009-02-23,36.819,37.526,30.173,30.286,17369810,0
2009-02-24,30.807,33.249,30.781,32.798,14865861,0
2009-02-25,34.557,35.155,32.963,33.015,13084100,0
2009-02-26,33.838,35.068,33.422,33.473,8975745,0
2009-02-27,32.487,36.894,31.977,36.332,21368947,0
2009-03-02,34.713,34.946,31.18,31.838,18292110,0
2009-03-03,32.573,34.816,32.496,33.88,13159554,0
2009-03-04,35.676,37.47,34.513,35.345,20044562,0
2009-03-05,34.227,35.84,33.399,33.829,10008655,0
2009-03-06,34.6,35.085,31.881,33.05,10923820,0
2009-03-09,32.324,34.886,31.864,34.056,8653366,0
2009-03-10,35.788,37.503,35.544,37.209,11720324,0
2009-03-11,37.961,38.697,36.931,38.422,11732022,0
2009-03-12,37.599,37.912,35.304,36.463,14201681,0
2009-03-13,37.068,37.068,34.307,35.51,11194137,0
2009-03-16,35.815,36.681,34.775,34.895,8590636,0
2009-03-17,34.895,35.918,34.089,35.668,8351063,0
2009-03-18,35.052,36.127,34.29,35.901,7625049,0
2009-03-19,37.131,37.92,36.566,36.713,9971858,0
2009-03-20,37.06,37.526,34.721,35.13,7977552,0
2009-03-23,36.491,37.78,35.848,37.78,8992690,0
2009-03-24,36.698,39.52,36.539,37.985,11980154,0
2009-03-25,38.898,39.668,36.819,38.379,9641901,0
